id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved
2829,Cleveland Metro Parks,Located throughout the park reservations,Cleveland,OH,False,False,Cleveland Metro Park reservations are located all over Cuyahoga County as well as one reservation in Medina County.,"The Cleveland Metro Parks system has many single stall locking restrooms located throughout the various reservations.  Some are marked gender specific, some are gender neutral.",41.4994954,-81.6954088,2014-02-02T20:53:02.804Z,2014-02-02T20:53:02.804Z,1,0,US,False,2829,True
20086,Cleveland Hall,Cleveland Hall,Pullman,WA,False,True,1st Floor East,,46.7286784,-117.1662418,2016-02-01T00:10:51.526Z,2016-02-01T00:10:51.526Z,0,0,US,False,20086,True
53446,"Anzac Pde before Cleveland St, Moore Park NSW 2021, Australia",Anzac Pde before Cleveland St,Moore Park,New South Wales,False,True,Up near the cafe,,-33.8957666,151.2214733,2019-10-18T02:49:45.924Z,2019-10-18T02:49:46.034Z,0,0,AU,False,53446,True
42129,Cleveland Clinic,9500 Euclid Ave,Cleveland ,Ohio,True,False,,Any hospital in the Cleveland Clinic system allows anyone to use the restroom of the gender they identify with. There are also plenty of unisex restrooms throughout the hospitals. ,41.5025172,-81.6224108,2018-06-29T00:16:06.661Z,2018-06-29T00:16:06.661Z,0,0,US,True,42129,True
6143,The LGBT Community Center of Greater Cleveland ,6600 Detroit Avenue,Cleveland,Ohio,False,False,Go down the stairs and turn left after the front desk.,One bathroom for people who identify as men and one for people who identify as women. Open to the public. ,41.4840715,-81.73098,2014-07-19T03:22:34.649Z,2014-07-19T03:22:34.649Z,1,2,United States,False,6143,True
16801,"126 Farris Road, Cleveland, TN 37323, USA",126 Farris Road,Cleveland,Tennessee,True,True,,,35.104236,-84.875382,2015-03-20T02:29:37.157Z,2015-03-20T02:29:37.157Z,0,1,US,False,16801,True
17853,Cleveland Library,21 Bloomfield Street,Cleveland,Queensland,True,True,"Walk in the main enterance, to your right before the barcode sensors. Librarians should be happy to direct you in case you miss it.",Only accessible when the library is open.,-27.525607,153.266814,2015-06-24T06:07:04.786Z,2015-06-24T06:07:04.786Z,0,0,AU,False,17853,True
23933,Hilton Cleveland Downtown Hotel,100 Lakeside Ave E,Cleveland,Ohio,True,True,In the front lobby on the left.,Family restroom.,41.5029479,-81.6965808,2016-07-10T00:46:52.122Z,2016-07-10T00:46:52.122Z,0,0,US,False,23933,True
26491,The Cleveland Institute of Art,11610 Euclid Ave. ,Cleveland,Ohio,True,False,There are two single stall restrooms on the first floor next to the freight elevator,,41.5104477,-81.6023986,2016-11-13T20:42:31.234Z,2016-11-13T20:42:31.234Z,0,1,US,False,26491,True
33559,Cleveland Heights Library,2345 Lee Rd,Cleveland Heights,Ohio,False,True,In the kids' section amongst the fiction DVD shelves,"Might smell like diapers, but it's a single family bathroom with a trash can, and the library is very LGBTQ+ friendly. You won't get any looks.",41.4957369,-81.5646573,2017-04-03T04:13:52.778Z,2017-04-03T04:13:52.778Z,0,0,US,False,33559,True
