Name,City,State
Au Bon Pain,New York City,New York
Callen Lorde Community Health Center,New York City,New York
Bard High School Early College Queens,New York City,New York
New Moon Pizzeria,New York City,New York
Union Square,New York City,New York
"Upright Citizens Brigade Theater, East Village ",New York City,New York
The Spotted Pig,New York City,New York
Souths Bar,New York City,New York
Remedy Diner,New York City,New York
Cucina Bene Pizzeria ,New York City,New York
Cucina Bene Pizzeria ,New York City,New York
The Wine Bar,New York City,New York
The Whitney,New York City,New York
The Grey Dog,New York City,New York
Starbucks,New York City,New York
Au Bon Pain,New York City,New York
Resorts World Casino,New York City,New York
Artichoke Pizza,New York City,New York
Microsoft Store - Fifth Avenue,New York City,New York
Chick-fil-A,New York City,New York
Lilli and Lou's,New York City,New York
Wendy’s ,New York City,New York
Bella Vitas Pizzeria,New York City,New York
Lombardi’s,New York City,New York
Starbucks Reserve Roastary,New York City,New York
American Dental,New York City,New York
H&M ,New York City,New York
Becco,New York City,New York
4th Street Food Coop,New York City,New York
etcetera etcetera ,New York City,New York
EN,New York City,New York
Bareburger,New York City,New York
Drama Book Shop,New York City,New York
Comfort Inn lower East Side,New York City,New York
Jojo's Philosophy Bar and Grill,New York City,New York
Metropolitan Museum of Art,New York City,New York
Beetle House,New York City,New York
O’Lunney’s Times Square Pub,New York City,New York
O’Lunney’s,New York City,New York
NYIT-NYC Campus,New York City,New York
NYIT-NYC Broadway,New York City,New York
NYIT-NYC Campus 2,New York City,New York
NYIT-NYC Campus 3,New York City,New York
Los Angeles Airport,Los Angeles,California 
Los Angeles Airport Terminal 2 Gate 21B,Los Angeles,California 
Los Angeles CA,Los Angeles,California 
CDTech/Public Allies Los Angeles,Los Angeles,California 
"Ackerman Union, 308 Westwood Plaza, Los Angeles, CA 90095, USA",Los Angeles,California 
Youtube Space Los Angeles,Los Angeles,California 
"5944 Echo Street, Los Angeles, CA 90042, USA",Los Angeles,California 
"5938 Echo Street, Los Angeles, CA 90042, USA",Los Angeles,California 
"8283 Portola Plaza, Los Angeles, CA 90095, USA",Los Angeles,California 
"840 Childs Way, Los Angeles, CA 90089, USA",Los Angeles,California 
"1601 Wilshire Blvd, Los Angeles, CA 90017, USA",Los Angeles,California 
"21 Bruin Walk, Los Angeles, CA 90095, USA",Los Angeles,California 
"10433 National Blvd, Los Angeles, CA 90034, USA",Los Angeles,California 
"11988 Sunset Blvd, Los Angeles, CA 90049, USA",Los Angeles,California 
"6268 Hollywood Blvd, Los Angeles, CA 90028, USA",Los Angeles,California 
"11811 West Olympic Boulevard, Los Angeles, CA 90064, USA",Los Angeles,California 
Los Angeles State Historic Park,Los Angeles,California 
"6333 W 3rd St, Los Angeles, CA 90036, USA",Los Angeles,California 
"3500-3502 South Figueroa Street, Los Angeles, CA 90007, USA",Los Angeles,California 
