2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area,,2016 population density,Location,
1,New York City, New York ,8336817,8175133,1.98%,301.5 sq mi ,780.9 km2 ,"28,317/sq mi ","10,933/km2 ",40.6635°N 73.9387°W
2,Los Angeles , California ,3979576,3792621,4.93%,468.7 sq mi ,"1,213.9 km2 ","8,484/sq mi ","3,276/km2 ",34.0194°N 118.4108°W
3,Chicago , Illinois ,2693976,2695598,−0.06% ,227.3 sq mi ,588.7 km2 ,"11,900/sq mi ","4,600/km2 ",41.8376°N 87.6818°W
4,Houston, Texas ,2320268,2100263,10.48%,637.5 sq mi ,"1,651.1 km2 ","3,613/sq mi ","1,395/km2 ",29.7866°N 95.3909°W
5,Phoenix , Arizona ,1680992,1445632,16.28%,517.6 sq mi ,"1,340.6 km2 ","3,120/sq mi ","1,200/km2 ",33.5722°N 112.0901°W
6,Philadelphia, Pennsylvania ,1584064,1526006,3.80%,134.2 sq mi ,347.6 km2 ,"11,683/sq mi ","4,511/km2 ",40.0094°N 75.1333°W
7,San Antonio , Texas ,1547253,1327407,16.56%,461.0 sq mi ,"1,194.0 km2 ","3,238/sq mi ","1,250/km2 ",29.4724°N 98.5251°W
8,San Diego , California ,1423851,1307402,8.91%,325.2 sq mi ,842.3 km2 ,"4,325/sq mi ","1,670/km2 ",32.8153°N 117.1350°W
9,Dallas , Texas ,1343573,1197816,12.17%,340.9 sq mi ,882.9 km2 ,"3,866/sq mi ","1,493/km2 ",32.7933°N 96.7665°W
10,San Jose , California ,1021795,945942,8.02%,177.5 sq mi ,459.7 km2 ,"5,777/sq mi ","2,231/km2 ",37.2967°N 121.8189°W
11,Austin , Texas ,978908,790390,23.85%,312.7 sq mi ,809.9 km2 ,"3,031/sq mi ","1,170/km2 ",30.3039°N 97.7544°W
12,Jacksonville, Florida ,911507,821784,10.92%,747.4 sq mi ,"1,935.8 km2 ","1,178/sq mi ",455/km2 ,30.3369°N 81.6616°W
